,energy_list,power_density,current_density,min_current_vals
0,0.0,0.0006444711259826523,-0.010636881,-0.53466797
1,0.5333333333333333,0.0007711159469103925,-0.011682658,-0.5872345
2,1.0666666666666667,0.0009159922469444037,-0.012254877,-0.6159973
3,1.6,0.001080934926933606,-0.012848345,-0.64582825
4,2.1333333333333333,0.001267705315725154,-0.01325512,-0.666275
5,2.6666666666666665,0.00147789472372481,-0.013526809,-0.67993164
6,3.2,0.001712807995904813,-0.013868319,-0.6970978
7,3.7333333333333334,0.001973330938024007,-0.0142553635,-0.71655273
8,4.266666666666667,0.002259789321420217,-0.014413216,-0.7244873
9,4.800000000000001,0.0025718114296850066,-0.0145452665,-0.7311249
10,5.333333333333333,0.0029082100321216925,-0.014643925,-0.736084
11,5.866666666666667,0.0032669021693302164,-0.014727405,-0.74028015
12,6.4,0.003644885004871241,-0.014798743,-0.74386597
13,6.933333333333334,0.004038282264269671,-0.01487008,-0.7474518
14,7.466666666666667,0.0044424681808653685,-0.014736512,-0.7407379
15,8.0,0.004852265205807425,-0.014782047,-0.74302673
16,8.533333333333333,0.005262199964801358,-0.014818475,-0.7448578
17,9.066666666666666,0.005666791745935133,-0.014762315,-0.7420349
18,9.600000000000001,0.006060841805655604,-0.014627229,-0.73524475
19,10.133333333333335,0.00643969162653252,-0.014718299,-0.7398224
20,10.666666666666666,0.006799423993717587,-0.014613569,-0.7345581
21,11.200000000000001,0.0071369908034516994,-0.014493661,-0.7285309
22,11.733333333333334,0.007450263279979728,-0.014457233,-0.7266998
23,12.266666666666667,0.00773801104958461,-0.014329736,-0.72029114
24,12.8,0.007999824303788748,-0.014106617,-0.7090759
25,13.333333333333336,0.008235997210720141,-0.014058047,-0.7066345
26,13.866666666666667,0.008447391025503716,-0.013859212,-0.69664
27,14.400000000000002,0.008635292952872433,-0.013687699,-0.6880188
28,14.933333333333334,0.008801282936617838,-0.013578416,-0.68252563
29,15.466666666666669,0.008947116288210696,-0.013326458,-0.66986084
